rainfall,temperature,N,P,K,pH,State_Name_andhra pradesh,State_Name_assam,State_Name_bihar,State_Name_chhattisgarh,State_Name_gujarat,State_Name_karnataka,State_Name_madhya pradesh,State_Name_maharashtra,State_Name_odisha,State_Name_rajasthan,State_Name_tamil nadu,State_Name_telangana,State_Name_uttar pradesh,State_Name_west bengal,Crop_Type_kharif,Crop_Type_rabi,Crop_Type_summer,Crop_Type_whole year,Crop_Black Gram,Crop_Dry chillies,Crop_Gram,Crop_Horse-gram,Crop_Jowar,Crop_Linseed,Crop_Maize,Crop_Mung beans,Crop_Pigeon peas(Toor Dal),Crop_Ragi,Crop_Rice,Crop_Sesame Seed,Crop_Sunflower,Yield_ton_per_hec
1145.2199999999998,28.5,80.0,40.0,40.0,5.54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9333333333333332
167.38,23.56,80.0,40.0,40.0,5.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6594202898550725
1151.02,28.03333333333333,80.0,40.0,40.0,5.44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5522262568916676
127.68,20.8,80.0,40.0,40.0,5.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6961815278037045
1145.2199999999998,28.5,80.0,40.0,40.0,5.36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2749675745784694
98.94,25.574,80.0,40.0,40.0,5.54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.7459016393442623
87.19999999999999,23.106,80.0,40.0,40.0,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2661724596125603
98.94,25.574,80.0,40.0,40.0,5.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.288997895166078
1166.9399999999998,28.33333333333333,80.0,40.0,40.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.659635210150674
167.38,23.56,80.0,40.0,40.0,5.42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4473684210526316
182.5,29.2,80.0,40.0,40.0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.600546261522704
34.81,34.666666666666664,80.0,40.0,40.0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.400462962962963
770.44,28.68,80.0,40.0,40.0,5.38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.88499966359416
607.48,26.366666666666664,80.0,40.0,40.0,5.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1160714285714284
1111.68,28.648181818181826,80.0,40.0,40.0,5.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6259783134587472
288.3,25.46,80.0,40.0,40.0,5.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.26999886472707
497.88,25.03333333333333,80.0,40.0,40.0,5.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.017037037037037
770.44,28.68,80.0,40.0,40.0,5.34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.9009980101260764
1543.76,27.33333333333333,80.0,40.0,40.0,5.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.075010176516301
1145.2199999999998,28.5,80.0,40.0,40.0,5.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4786324786324787
497.88,25.03333333333333,80.0,40.0,40.0,5.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9929906542056075
790.98,30.616666666666664,80.0,40.0,40.0,5.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4031007751937985
34.81,34.666666666666664,80.0,40.0,40.0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.3846153846153846
1011.49,30.43,80.0,40.0,40.0,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6888888888888889
770.44,28.68,80.0,40.0,40.0,5.52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5820000810077364
167.38,23.56,80.0,40.0,40.0,5.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3146067415730338
288.3,25.46,80.0,40.0,40.0,5.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.320959880014998
770.44,28.68,80.0,40.0,40.0,5.38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6622947168227262
654.34,29.26666666666667,80.0,40.0,40.0,5.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.897688845179105
